Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,1,0.05,0,0,160,20000,3200000,9,104,7.96460177
S23_S24,2,0.05,0,0,147,20000,2940000,9,94,8.737864078
S23_S24,3,0.05,0,0,139,20000,2780000,11,97,10.18518519
S23_S24,1,0.2,0,0,119,20000,2380000,19,77,19.79166667
S23_S24,2,0.2,0,0,120,20000,2400000,24,82,22.64150943
S23_S24,3,0.2,0,0,157,20000,3140000,43,97,30.71428571
S23_S24,1,0.35,0,0,142,20000,2840000,45,78,36.58536585
S23_S24,2,0.35,0,0,140,20000,2800000,46,71,39.31623932
S23_S24,3,0.35,0,0,136,20000,2720000,73,59,55.3030303
S23_S24,1,0.6,0,0,126,20000,2520000,64,38,62.74509804
S23_S24,2,0.6,0,0,138,20000,2760000,68,43,61.26126126
S23_S24,3,0.6,0,0,128,20000,2560000,62,45,57.94392523
S23_S24,1,0.8,0,0,126,20000,2520000,78,27,74.28571429
S23_S24,2,0.8,0,0,129,20000,2580000,93,29,76.2295082
S23_S24,3,0.8,0,0,85,20000,1700000,67,17,79.76190476
S23_S24,1,0.05,0,24,50,75000,3750000,6,35,14.63414634
S23_S24,2,0.05,0,24,46,75000,3450000,4,34,10.52631579
S23_S24,3,0.05,0,24,62,75000,4650000,2,39,4.87804878
S23_S24,1,0.2,0,24,56,75000,4200000,16,32,33.33333333
S23_S24,2,0.2,0,24,54,75000,4050000,6,32,15.78947368
S23_S24,3,0.2,0,24,49,75000,3675000,12,32,27.27272727
S23_S24,1,0.35,0,24,58,75000,4350000,17,35,32.69230769
S23_S24,2,0.35,0,24,75,75000,5625000,26,39,40
S23_S24,3,0.35,0,24,54,75000,4050000,14,35,28.57142857
S23_S24,1,0.6,0,24,65,75000,4875000,26,28,48.14814815
S23_S24,2,0.6,0,24,73,75000,5475000,30,34,46.875
S23_S24,3,0.6,0,24,85,75000,6375000,37,29,56.06060606
S23_S24,1,0.8,0,24,82,75000,6150000,41,24,63.07692308
