Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,1,0.05,10,0,134,1000,2680000,7,144,4.635761589
S23_S24,2,0.05,10,0,137,1000,2740000,10,122,7.575757576
S23_S24,3,0.05,10,0,67,1000,1340000,8,62,11.42857143
S23_S24,1,0.2,10,0,105,1000,2100000,29,85,25.43859649
S23_S24,2,0.2,10,0,121,1000,2420000,26,84,23.63636364
S23_S24,3,0.2,10,0,33,1000,660000,8,23,25.80645161
S23_S24,1,0.35,10,0,163,1000,3260000,42,95,30.65693431
S23_S24,2,0.35,10,0,128,1000,2560000,50,86,36.76470588
S23_S24,3,0.35,10,0,129,1000,2580000,52,80,39.39393939
S23_S24,1,0.6,10,0,114,1000,2280000,50,40,55.55555556
S23_S24,2,0.6,10,0,127,1000,2540000,56,42,57.14285714
S23_S24,3,0.6,10,0,128,1000,2560000,65,49,57.01754386
S23_S24,1,0.8,10,0,174,1000,3480000,84,23,78.5046729
S23_S24,2,0.8,10,0,114,1000,2280000,72,29,71.28712871
S23_S24,3,0.8,10,0,123,1000,2460000,86,23,78.89908257
S23_S24,1,0.05,10,24,32,100000,32000000,0,30,0
S23_S24,2,0.05,10,24,48,100000,48000000,0,41,0
S23_S24,3,0.05,10,24,285,10000,28500000,2,207,0.956937799
S23_S24,1,0.2,10,24,102,10000,10200000,1,74,1.333333333
S23_S24,2,0.2,10,24,121,100000,121000000,0,94,0
S23_S24,3,0.2,10,24,88,100000,88000000,1,74,1.333333333
S23_S24,1,0.35,10,24,41,100000,41000000,2,35,5.405405405
S23_S24,2,0.35,10,24,41,100000,41000000,1,34,2.857142857
S23_S24,3,0.35,10,24,34,100000,34000000,1,29,3.333333333
S23_S24,1,0.6,10,24,51,100000,51000000,5,38,11.62790698
S23_S24,2,0.6,10,24,135,100000,135000000,4,98,3.921568627
S23_S24,3,0.6,10,24,39,100000,39000000,1,31,3.125
S23_S24,1,0.8,10,24,74,100000,74000000,8,44,15.38461538
S23_S24,2,0.8,10,24,81,100000,81000000,7,54,11.47540984
S23_S24,3,0.8,10,24,46,100000,46000000,2,32,5.882352941
S23_S24,1,0.05,10,48,22,100000,44000000,0,20,0
S23_S24,2,0.05,10,48,26,100000,52000000,1,25,3.846153846
S23_S24,3,0.05,10,48,23,100000,46000000,0,23,0
S23_S24,1,0.2,10,48,34,100000,68000000,1,31,3.125
S23_S24,2,0.2,10,48,54,100000,108000000,3,42,6.666666667
S23_S24,3,0.2,10,48,37,100000,74000000,4,33,10.81081081
S23_S24,1,0.35,10,48,37,100000,74000000,2,36,5.263157895
S23_S24,2,0.35,10,48,50,100000,100000000,4,38,9.523809524
S23_S24,3,0.35,10,48,30,100000,60000000,2,24,7.692307692
S23_S24,1,0.6,10,48,71,100000,142000000,3,57,5
S23_S24,2,0.6,10,48,55,100000,110000000,4,45,8.163265306
S23_S24,3,0.6,10,48,84,100000,168000000,8,74,9.756097561
S23_S24,1,0.8,10,48,47,100000,94000000,3,40,6.976744186
S23_S24,2,0.8,10,48,27,100000,54000000,1,24,4
S23_S24,3,0.8,10,48,28,100000,56000000,1,23,4.166666667
S23_S24,1,0.05,10,72,76,100000,76000000,0,66,0
S23_S24,2,0.05,10,72,29,100000,29000000,0,28,0
S23_S24,3,0.05,10,72,27,100000,27000000,1,24,4
S23_S24,1,0.2,10,72,142,100000,142000000,4,121,3.2
S23_S24,2,0.2,10,72,70,100000,70000000,0,61,0
S23_S24,3,0.2,10,72,95,100000,95000000,4,93,4.12371134
S23_S24,1,0.35,10,72,33,100000,33000000,0,29,0
S23_S24,2,0.35,10,72,42,100000,42000000,0,40,0
S23_S24,3,0.35,10,72,24,100000,24000000,0,22,0
S23_S24,1,0.6,10,72,132,100000,132000000,10,86,10.41666667
S23_S24,2,0.6,10,72,88,100000,88000000,7,77,8.333333333
S23_S24,3,0.6,10,72,160,100000,160000000,4,141,2.75862069
S23_S24,1,0.8,10,72,50,100000,50000000,0,42,0
S23_S24,2,0.8,10,72,46,100000,46000000,2,41,4.651162791
S23_S24,3,0.8,10,72,47,100000,47000000,1,45,2.173913043
S23_S24,1,0.05,10,96,36,100000,36000000,1,31,3.125
S23_S24,2,0.05,10,96,35,100000,35000000,0,32,0
S23_S24,3,0.05,10,96,29,100000,29000000,0,26,0
S23_S24,1,0.2,10,96,58,100000,58000000,0,45,0
S23_S24,2,0.2,10,96,76,100000,76000000,1,68,1.449275362
S23_S24,3,0.2,10,96,43,100000,43000000,1,43,2.272727273
S23_S24,1,0.35,10,96,33,100000,33000000,0,30,0
S23_S24,2,0.35,10,96,86,100000,86000000,4,69,5.479452055
S23_S24,3,0.35,10,96,92,100000,92000000,4,79,4.819277108
S23_S24,1,0.6,10,96,55,100000,55000000,4,50,7.407407407
S23_S24,2,0.6,10,96,51,100000,51000000,6,57,9.523809524
S23_S24,3,0.6,10,96,53,100000,53000000,1,38,2.564102564
S23_S24,1,0.8,10,96,72,100000,72000000,4,53,7.01754386
S23_S24,2,0.8,10,96,123,100000,123000000,7,92,7.070707071
S23_S24,3,0.8,10,96,66,100000,66000000,0,48,0
S23_S24,1,0.05,10,120,21,100000,21000000,0,21,0
S23_S24,2,0.05,10,120,46,100000,46000000,0,43,0
S23_S24,3,0.05,10,120,34,100000,34000000,0,33,0
S23_S24,1,0.2,10,120,29,100000,29000000,1,27,3.571428571
S23_S24,2,0.2,10,120,41,100000,41000000,7,37,15.90909091
S23_S24,3,0.2,10,120,29,100000,29000000,0,25,0
S23_S24,1,0.35,10,120,39,100000,39000000,5,35,12.5
S23_S24,2,0.35,10,120,64,100000,64000000,0,56,0
S23_S24,3,0.35,10,120,34,100000,34000000,0,31,0
S23_S24,1,0.6,10,120,43,100000,43000000,3,39,7.142857143
S23_S24,2,0.6,10,120,39,100000,39000000,2,34,5.555555556
S23_S24,3,0.6,10,120,37,100000,37000000,3,36,7.692307692
S23_S24,1,0.8,10,120,95,100000,95000000,7,63,10
S23_S24,2,0.8,10,120,49,100000,49000000,5,45,10
S23_S24,3,0.8,10,120,101,100000,101000000,9,73,10.97560976
